Attaching 8 probes...
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 332, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 152, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 156, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 156, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 156, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 156, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 158, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 158, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 158, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 161, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 161, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 161, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 161, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 14, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 161, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 161, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 161, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 165, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 169, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 169, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 170, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 170, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 170, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 170, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 170, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 170, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 12, chunk_alloc: 0
